bnf_code,bnf_name,chemical,numerator
0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D),0301011R0,4927
0703010F0BLAAAJ,Yasmin_Tab,0703010F0,131
0703010F0BQAAAA,Gedarel_Tab 30/150mcg,0703010F0,61
0703010F0BPAAAC,Rigevidon_Tab,0703010F0,581
0301011R0AACBCB,Salbutamol_Pdr For Inh 100mcg (200D)+Dev,0301011R0,1
0906027G0AAABAB,Vit B Co Strong_Tab,0906027G0,1330
0301011R0AABUBU,Salbutamol_Inha B/A 100mcg (200 D) CFF,0301011R0,2373
0301011R0BMABBU,Airomir_Autohaler 100mcg (200 D) CFF,0301011R0,140
0703010F0BFAAAC,Ovranette_Tab 150mcg/30mcg,0703010F0,11
0703010F0BEAAAC,Microgynon 30_Tab,0703010F0,512
0407041T0AAAEAE,Sumatriptan_Inj 6mg/0.5ml Pfs Ref,0407041T0,40
0301011R0AACACA,Salbutamol_Pdr For Inh 200mcg (200 D),0301011R0,1
0703010F0AAAJAJ,Ethinylestr/Drospirenone_Tab 30mcg/3mg,0703010F0,89
0301011R0BEAHAQ,Ventolin_Accuhaler 200mcg (60 D),0301011R0,722
0407041T0AAAHAH,Sumatriptan_Aq Nsl Spy 10mg/0.1ml Ud,0407041T0,35
0407041T0AAAIAI,Sumatriptan_Inj 6mg/0.5ml Pf Pen,0407041T0,5
1305030C0AAAAAA,Tacrolimus_Oint 0.1%,1305030C0,103
0301011R0BEAXBD,Ventolin_Nebules Soln 5mg/2.5ml Ud,0301011R0,72
0703010F0BEABAH,Microgynon 30 ED_Tab,0703010F0,42
0703010F0AAACAC,Ethinylest/Levonorgest_Tab 30/150mcg,0703010F0,380
0301011R0AABGBG,Salbutamol_Oral Soln 2mg/5ml S/F,0301011R0,14
0301011R0BWABAQ,Easyhaler_Salbutamol Sulf 200mcg (200D),0301011R0,180
0407041T0BBACAC,Imigran_Tab 100mg,0407041T0,11
0703010F0BYAAAC,Maexeni_Tab 150mcg/30mcg,0703010F0,6
0703010F0AAAFAF,Ethinylest/Norethist Acet_Tab30mcg/1.5mg,0703010F0,4
0301011R0AABDBD,Salbutamol_Inh Soln 5mg/2.5ml Ud,0301011R0,620
0301011R0BIAFAP,Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0,211
0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D),0301011R0,76
0301011R0AABBBB,Salbutamol_Inh Soln 5mg/ml,0301011R0,1
1305030C0AAACAC,Tacrolimus_Oint 0.03%,1305030C0,23
0301011R0BMAAAP,Airomir_Inha 100mcg (200 D),0301011R0,6
0301011R0AAAZAZ,Salbutamol_Tab 2mg,0301011R0,7
1305030C0BBABAC,Protopic_Oint 0.03%,1305030C0,6
0703010F0BBAAAA,Marvelon_Tab,0703010F0,38
0407041T0BBAFAF,Imigran 50_Tab 50mg,0407041T0,9
0407041T0BBAGAG,Imigran_Nsl Spy 20mg/0.1ml Ud,0407041T0,7
0301011R0AAAXAX,Salbutamol_Inh Soln 2.5mg/2.5ml Ud,0301011R0,507
0703010F0BNAAAC,Levest 150/30_Tab,0703010F0,2
0703010F0BIAAAF,Loestrin 30_Tab,0703010F0,12
0407041T0BBAIAF,Imigran Radis_Tab 50mg,0407041T0,9
0407041T0BBADAD,Imigran Subject_Inj 6mg/0.5ml Pfs + Dev,0407041T0,6
0906027G0AAAAAA,Vit B Co_Tab,0906027G0,122
0301011R0BIAEBD,Salamol_Steri-Neb Soln 5mg/2.5ml Ud,0301011R0,5
0301011R0BEANAX,Ventolin_Nebules Soln 2.5mg/2.5ml Ud,0301011R0,45
0703010F0AAAAAA,Ethinylest/Desogestrel_Tab 30mcg/150mcg,0703010F0,36
0703010F0AAAEAE,Ethinylestr/Gestodene_Tab 30mcg/75mcg,0703010F0,4
0703010F0BRAAAE,Millinette_Tab 30/75mcg,0703010F0,13
0703010F0BVAAAJ,Lucette_Tab 0.03mg/3mg,0703010F0,11
0407041T0AAAGAG,Sumatriptan_Aq Nsl Spy 20mg/0.1ml Ud,0407041T0,101
0407041T0AAADAD,Sumatriptan_Inj 6mg/0.5ml Pfs + Dev,0407041T0,71
0703010F0BJAAAE,Femodene_Tab,0703010F0,31
0301011R0BEAMBG,Ventolin_Syr 2mg/5ml S/F,0301011R0,3
0407041T0AAAFAF,Sumatriptan_Tab 50mg,0407041T0,1807
0301011R0BWAABZ,Easyhaler_Salbutamol Sulf 100mcg (200D),0301011R0,1228
0301011R0BIAGBU,Salamol E-Breathe_Inh 100mcg (200 D) CFF,0301011R0,985
0301011R0AABABA,Salbutamol_Tab 4mg,0301011R0,14
0407041T0AAACAC,Sumatriptan_Tab 100mg,0407041T0,421
0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF,0301011R0,33406
0301011R0AAAQAQ,Salbutamol_Pdr For Inh 200mcg (60 D),0301011R0,459
1305030C0BBAAAA,Protopic_Oint 0.1%,1305030C0,39
0301011R0BXABCC,Salbulin Novolizer_Inh 100mcg (200D) Ref,0301011R0,1
