bnf_code,bnf_name,chemical,numerator
0407010F0AAACAC,Co-Codamol Eff_Tab 8mg/500mg,0407010F0,461
0202040B0AAABAB,Co-Amilofruse_Tab 2.5mg/20mg,0202040B0,13
0401010Z0AAAAAA,Zopiclone_Tab 7.5mg,0401010Z0,2052
0401010Z0AAACAC,Zopiclone_Tab 3.75mg,0401010Z0,1142
0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,0407010F0,1043
0202040B0AAAAAA,Co-Amilofruse_Tab 5mg/40mg,0202040B0,23
0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg,0407010F0,271
0407010F0AAAPAP,Co-Codamol_Tab 12.8mg/500mg,0407010F0,6
0401010Z0BBAAAA,Zimovane_Tab 7.5mg,0401010Z0,54
0407010F0AAAAAA,Co-Codamol_Tab 8mg/500mg,0407010F0,5829
1312000C0AAAWAW,Alum Chlor_Spy 20% 30ml,1312000C0,17
1312000C0BBAAAS,Anhydrol Fte_A-Pers Soln 20%,1312000C0,4
1312000C0BCAAAS,Driclor_A-Pers Soln 20%,1312000C0,8
0407010F0BGAAAF,Solpadol_Tab Eff 30mg/500mg,0407010F0,23
0407010F0BSAAAH,Zapain_Tab 30mg/500mg,0407010F0,6
0407010F0AAAVAV,Co-Codamol_Cap 15mg/500mg,0407010F0,101
0407010F0AAABAB,Co-Codamol_Cap 8mg/500mg,0407010F0,176
0407010F0BEAAAD,Tylex_Cap 30mg/500mg,0407010F0,31
0407010F0BGACAD,Solpadol_Cap 30mg/500mg,0407010F0,2
1312000C0AAASAS,Alum Chlor_Soln 20%,1312000C0,77
0407010F0AAAFAF,Co-Codamol Eff_Tab 30mg/500mg,0407010F0,73
0407010F0BHAAAH,Kapake_Tab 30mg/500mg,0407010F0,9
0407010F0AAAWAW,Co-Codamol_Tab Eff 15mg/500mg S/F,0407010F0,1
0407010F0AAAKAK,Co-Codamol_Tab 15mg/500mg,0407010F0,988
0401010Z0AAAJAJ,Zopiclone_Oral Soln 3.75mg/5ml,0401010Z0,10
0407010F0BXAAAA,Migraleve_Yellow Tab,0407010F0,19
