bnf_code,bnf_name,chemical,numerator
0209000A0AAAJAJ,Aspirin_Tab 75mg,0209000A0,2765
0209000A0BFAAAK,Nu-Seals 75_Tab E/C 75mg,0209000A0,12
0407010F0AAAWAW,Co-Codamol_Tab Eff 15mg/500mg S/F,0407010F0,1
0401010Z0BBABAC,Zimovane LS_Tab 3.75mg,0401010Z0,11
0407010F0AAAFAF,Co-Codamol Eff_Tab 30mg/500mg,0407010F0,314
0407010F0AAACAC,Co-Codamol Eff_Tab 8mg/500mg,0407010F0,497
0503021C0AAAGAG,Aciclovir_Tab Disper 200mg,0503021C0,172
0407010F0AAAKAK,Co-Codamol_Tab 15mg/500mg,0407010F0,674
0503021C0AAAEAE,Aciclovir_Tab Disper 800mg,0503021C0,37
0503021C0BEABAC,Ranovir_Tab 400mg,0503021C0,1
0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,0407010F0,2597
0503021C0AAABAB,Aciclovir_Tab 200mg,0503021C0,884
0407010F0BGABAH,Solpadol_Capl 30mg/500mg,0407010F0,62
0407010F0AAAAAA,Co-Codamol_Tab 8mg/500mg,0407010F0,4552
0209000A0AAAKAK,Aspirin_Tab E/C 75mg,0209000A0,8631
0503021C0AAAHAH,Aciclovir_Tab Disper 400mg,0503021C0,30
0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg,0407010F0,1784
0407010F0AAAPAP,Co-Codamol_Tab 12.8mg/500mg,0407010F0,2
0407010F0BSAAAH,Zapain_Tab 30mg/500mg,0407010F0,50
0407010F0AAAVAV,Co-Codamol_Cap 15mg/500mg,0407010F0,110
0407010F0BGACAD,Solpadol_Cap 30mg/500mg,0407010F0,6
0209000A0AAABAB,Aspirin Disper_Tab 75mg,0209000A0,61408
0407010F0BEAAAD,Tylex_Cap 30mg/500mg,0407010F0,51
0407010F0AAABAB,Co-Codamol_Cap 8mg/500mg,0407010F0,133
0503021C0AAADAD,Aciclovir_Tab 800mg,0503021C0,819
0407010F0BXAAAA,Migraleve_Yellow Tab,0407010F0,23
0401010Z0AAAAAA,Zopiclone_Tab 7.5mg,0401010Z0,5233
0401010Z0BBAAAA,Zimovane_Tab 7.5mg,0401010Z0,46
0407010F0BGAAAF,Solpadol_Tab Eff 30mg/500mg,0407010F0,54
0503021C0AAAAAA,Aciclovir_Oral Susp 200mg/5ml S/F,0503021C0,13
0401010Z0AAACAC,Zopiclone_Tab 3.75mg,0401010Z0,3959
0503021C0AAACAC,Aciclovir_Tab 400mg,0503021C0,1253
0401010Z0AAAJAJ,Zopiclone_Oral Soln 3.75mg/5ml,0401010Z0,1
