bnf_code,bnf_name,chemical,numerator
0601060D0BWAAA0,FreeStyle (Reagent)_Strips,0601060D0,2
0407010H0AADPDP,Paracet_Oral Soln 500mg/5ml S/F,0407010H0,1
0704010U0AAAAAA,Tamsulosin HCl_Cap 400mcg M/R,0704010U0,345
0601060D0BHADA0,OneTouch Verio (Reagent)_Strips,0601060D0,14
0601060D0CIAAA0,WaveSense JAZZ (Reagent)_Strips,0601060D0,1
0601060D0CSAAA0,Mobile (Reagent)_Strips,0601060D0,17
0601060D0CCAAA0,Aviva (Reagent)_Strips,0601060D0,72
0407010H0AAA7A7,Paracet_Oral Soln Paed 120mg/5ml S/F,0407010H0,4
0601060D0CUABA0,GlucoRx Nexus (Reagent)_Strips,0601060D0,2
0407010H0AAAAAA,Paracet_Cap 500mg,0407010H0,14
0601060D0BHAEA0,OneTouch Select Plus (Reagent)_Strips,0601060D0,2
0601060D0DGAAA0,Contour Next (Reagent)_Strips,0601060D0,45
0407010H0AAACAC,Paracet_Oral Susp 250mg/5ml,0407010H0,4
0204000H0AAAAAA,Bisoprolol Fumar_Tab 5mg,0204000H0,335
0601060D0BWABA0,FreeStyle Lite (Reagent)_Strips,0601060D0,6
0601060D0EKAAA0,4SURE (Reagent)_Strips,0601060D0,23
0407010H0AAAQAQ,Paracet_Tab Solb 500mg,0407010H0,26
0601060D0CLAAA0,Contour (Reagent)_Strips,0601060D0,167
0601060D0BQAEA0,GlucoMen areo Sensor (Reagent)_Strips,0601060D0,11
0407010H0AAAMAM,Paracet_Tab 500mg,0407010H0,588
0204000H0AABEBE,Bisoprolol Fumar_Oral Soln 2.5mg/5ml,0204000H0,2
0601060D0DWAAA0,Performa (Reagent)_Strips,0601060D0,32
0601060D0BJADA0,FreeStyle Optium (Reagent)_Strips,0601060D0,81
0204000H0AAAMAM,Bisoprolol Fumar_Tab 1.25mg,0204000H0,320
0601060D0DEAAA0,BGStar (Reagent)_Strips,0601060D0,1
0204000H0AAAKAK,Bisoprolol Fumar_Tab 3.75mg,0204000H0,70
0204000H0AAABAB,Bisoprolol Fumar_Tab 10mg,0204000H0,152
0601060D0CUACA0,GlucoRx HCT Glucose (Reagent)_Strips,0601060D0,1
0407010H0AAAIAI,Paracet_Oral Susp Paed 120mg/5ml,0407010H0,2
0204000H0AAALAL,Bisoprolol Fumar_Tab 7.5mg,0204000H0,61
0601060D0DTAAA0,Contour TS (Reagent)_Strips,0601060D0,26
0601060D0DKAAA0,TRUEyou (Reagent)_Strips,0601060D0,3
0204000H0AAAJAJ,Bisoprolol Fumar_Tab 2.5mg,0204000H0,529
0407010H0AABGBG,Paracet_Oral Susp 250mg/5ml S/F,0407010H0,7
