bnf_code,bnf_name,chemical,numerator
090607000BBEGA1,Forceval_Cap,090607000,8
090607000BBLEBB,Renavit_Tab,090607000,7
0407010F0AAACAC,Co-Codamol Eff_Tab 8mg/500mg,0407010F0,20
0407010F0AAAFAF,Co-Codamol Eff_Tab 30mg/500mg,0407010F0,51
090607000BBLCA0,Forceval_Tab Solb,090607000,3
0407010F0BGAAAF,Solpadol_Tab Eff 30mg/500mg,0407010F0,1
090607000BBAZAG,Dalivit_Dps,090607000,22
0407010F0AAAHAH,Co-Codamol_Tab 30mg/500mg,0407010F0,31
0407010F0AAABAB,Co-Codamol_Cap 8mg/500mg,0407010F0,5
0802010G0AAAEAE,Azathioprine_Tab 50mg,0802010G0,70
0407010F0BXAAAA,Migraleve_Yellow Tab,0407010F0,1
0407010F0AAADAD,Co-Codamol_Cap 30mg/500mg,0407010F0,15
0407010F0AAAAAA,Co-Codamol_Tab 8mg/500mg,0407010F0,138
0407010F0AAAKAK,Co-Codamol_Tab 15mg/500mg,0407010F0,7
090607000BBFJBF,Abidec_Dps,090607000,14
0407010F0AAAVAV,Co-Codamol_Cap 15mg/500mg,0407010F0,11
1310030C0AAAAAA,Aciclovir_Crm 5%,1310030C0,16
