chemical_code,chemical_name
010101000,Other antacid and simeticone preparations
0101010A0,Alexitol sodium
0101010C0,Aluminium hydroxide
0101010E0,Hydrotalcite
0101010F0,Magnesium carbonate
0101010G0,Co-magaldrox (Magnesium/aluminium hydroxide)
0101010I0,Magnesium oxide
0101010J0,Magnesium trisilicate
0101010L0,Aluminium and magnesium and activated simeticone
0101010N0,Aluminium and magnesium and oxetacaine
0101010P0,Co-simalcite (Simeticone/hydrotalcite)
0101010Q0,Magnesium hydroxide
0101010R0,Simeticone
0101010S0,Calcium carbonate and simeticone
0101010T0,Magnesium sulphate
0101010U0,Sodium citrate
0101012A0,Gripe mixtures
0101012B0,Sodium bicarbonate
010102100,Compound alginates and proprietary indigestion preparations
0101021B0,Alginic acid compound preparations
0101021C0,Calcium carbonate
0102000A0,Alverine citrate
0102000AC,Atropine sulfate
0102000AJ,Alverine citrate/simeticone
0102000AK,Eluxadoline
0102000C0,Alverine citrate compound preparations
0102000D0,Compound antispasmodic preparations
0102000G0,Cisapride
0102000H0,Belladonna alkaloids
0102000J0,Dicycloverine hydrochloride
0102000K0,Dicycloverine hydrochloride compound preparations
0102000L0,Glycopyrronium bromide
0102000N0,Hyoscine butylbromide
0102000P0,Mebeverine hydrochloride
0102000R0,Mepenzolate bromide
0102000T0,Peppermint oil
0102000X0,Mebeverine hydrochloride compound preparations
0102000Y0,Propantheline bromide
010300000,Other test for helicobacter pylori preparations
0103010D0,Cimetidine
0103010H0,Famotidine
0103010N0,Nizatidine
0103010S0,Ranitidine bismuth citrate
0103010T0,Ranitidine hydrochloride
0103020P0,Pirenzepine
0103030S0,Sucralfate
0103030W0,Tripotassium dicitratobismuthate
0103040M0,Misoprostol
0103050A0,Helicobacter pylori eradication therapy
0103050E0,Esomeprazole
0103050L0,Lansoprazole
0103050P0,Omeprazole
0103050R0,Pantoprazole
0103050T0,Rabeprazole sodium
0103060E0,Carbenoxolone sodium compound preparations
010401000,Other adsorbent and bulk-forming preparations
0104010H0,Kaolin light
0104020D0,Codeine phosphate compound mixtures
0104020H0,Co-phenotrope (Diphenox hydrochloride/atropine sulfate)
0104020L0,Loperamide hydrochloride
0104020N0,Opium and morphine
0104020P0,Loperamide hydrochloride and simeticone
0104030A0,Racecadotril
0104040A0,Telotristat ethyl
0105010B0,Mesalazine (Systemic)
0105010C0,Olsalazine sodium
0105010D0,Balsalazide sodium
0105010E0,Sulfasalazine
0105020A0,Budesonide
0105020B0,Hydrocortisone acetate
0105020C0,Hydrocortisone
0105020D0,Prednisolone sodium metasulphobenzoate
0105020E0,Prednisolone sodium phosphate
0105020G0,Beclometasone dipropionate (Systemic)
0105030A0,Vedolizumab
0105030B0,Ustekinumab (Crohn's)
0105040A0,Sodium cromoglicate
0106010C0,Bran
0106010E0,Ispaghula husk
0106010H0,Methylcellulose
0106010N0,Sterculia
010602000,Other stimulant laxative preparations
0106020B0,Co-danthramer (Dantron/poloxamer 188)
0106020C0,Bisacodyl
0106020F0,Castor oil
0106020I0,Docusate sodium
0106020J0,Co-danthrusate (Dantron/docusate sodium)
0106020L0,Glycerol
0106020M0,Senna
0106020P0,Sodium picosulfate
0106020U0,Phenolphthalein and rhubarb
0106030A0,Arachis oil
0106030P0,Liquid paraffin
010604000,Other osmotic laxative preparations
0106040F0,Lactitol
0106040G0,Lactulose
0106040J0,Magnesium hydroxide
0106040L0,Magnesium sulfate
0106040M0,Macrogol 3350
0106040N0,Phosphates (Rectal)
0106040R0,Sodium citrate (Rectal)
0106040X0,Macrogol 4000
0106050B0,Bowel cleansing solutions
0106050M0,Magnesium citrate
0106050S0,Sodium picosulfate
0106050U0,Phosphates
0106060A0,Methylnaltrexone bromide
0106060B0,Naloxegol
0106060C0,Naldemedine
0106070A0,Prucalopride
0106070B0,Linaclotide
0106070C0,Lubiprostone
010701000,Other soothing haemorrhoidal preparations
0107010AA,Diltiazem hydrochloride
0107010B0,Acetarsol
0107010E0,Bismuth subgallate
0107010G0,Cinchocaine hydrochloride
0107010I0,Hamamelis
0107010J0,Heparinoid
0107010N0,Lidocaine hydrochloride
0107010S0,Sucralfate
0107010Z0,Zinc oxide
0107020B0,Betamethasone
0107020F0,Fluocortolone
0107020J0,Hydrocortisone
0107020P0,Prednisolone
0107030P0,Phenol
0107040A0,Glyceryl trinitrate
0107040B0,Nifedipine
0108010S0,"Skin protectives,fillers and cleansers"
0109010G0,Chenodeoxycholic acid
0109010H0,Cholic acid
0109010R0,Other preparations for biliary disorders
0109010U0,Ursodeoxycholic acid
0109010V0,Obeticholic acid
010904000,Other pancreatin preparations
0109040N0,Pancreatin
0201010AA,Digoxin antibody
0201010D0,Digitoxin
0201010F0,Digoxin
0201020G0,Enoximone
0201020M0,Milrinone lactate
0202010B0,Bendroflumethiazide
0202010D0,Chlorothiazide
0202010F0,Chlortalidone
0202010J0,Cyclopenthiazide
0202010L0,Hydrochlorothiazide
0202010P0,Indapamide
0202010V0,Metolazone
