bnf_code,bnf_name,chemical,numerator
0408010H0BBADAP,Lamictal_Tab Disper 5mg,0408010H0,8
0106010E0BBAAAD,Fybogel_Gran Sach 3.5g Plain S/F,0106010E0,93
0106010E0BKAAAD,Fybogel_H/Fbre Gran Eff Sach3.5g OrngS/F,0106010E0,23
0704020AEAAAAAA,Mirabegron_Tab 25mg M/R,0704020AE,307
0408010H0AAAAAA,Lamotrigine_Tab 100mg,0408010H0,948
0408010H0BBAGA1,Lamictal_Tab 200mg,0408010H0,14
0106010E0AAADAD,Ispag Husk_Gran Eff Sach 3.5g G/F S/F,0106010E0,824
0704020AEBBAAAA,Betmiga_Tab 25mg M/R,0704020AE,35
0704010U0BIAAAA,Pamsvax XL_Cap 400mcg (Arrow),0704010U0,8
0408010H0BBAAAB,Lamictal_Tab 50mg,0408010H0,54
0106010E0AAATAT,Ispag Husk_Gran Sach 3.5g G/F,0106010E0,13
0408010H0AAACAC,Lamotrigine_Tab 25mg,0408010H0,717
0106010E0AAAHAH,Ispag Husk_Gran Eff Sach 3.5g Orange S/F,0106010E0,23
0106070A0AAABAB,Prucalopride_Tab 2mg,0106070A0,64
0106010E0BKABAD,Fybogel_H/Fbre Gran Eff Sach3.5g Lem S/F,0106010E0,9
0704020AEBBABAB,Betmiga_Tab 50mg M/R,0704020AE,59
0408010H0AAAWAW,Lamotrigine_Tab Disper 100mg S/F,0408010H0,74
0704010U0AAAAAA,Tamsulosin HCl_Cap 400mcg M/R,0704010U0,7596
0408010H0AAA1A1,Lamotrigine_Tab 200mg,0408010H0,201
0408010H0BBACAC,Lamictal_Tab 25mg,0408010H0,35
0704010U0BDAAAB,Flomaxtra XL_Tab 400mcg P/R,0704010U0,31
0408010H0BBAEAQ,Lamictal_Tab Disper 25mg,0408010H0,31
0704020AEAAABAB,Mirabegron_Tab 50mg M/R,0704020AE,875
0408010H0BBABAA,Lamictal_Tab 100mg,0408010H0,46
0106010E0BBACAD,Fybogel_Gran Sach 3.5g Lem S/F,0106010E0,46
0704010U0BMAAAA,Contiflo XL_Cap 400mcg,0704010U0,3
0408010H0AAAPAP,Lamotrigine_Tab Disper 5mg S/F,0408010H0,26
0408010H0AAAQAQ,Lamotrigine_Tab Disper 25mg S/F,0408010H0,143
0704010U0AAABAB,Tamsulosin HCl_Tab 400mcg M/R,0704010U0,202
0106010E0BBABAH,Fybogel_Gran Sach 3.5g Orange S/F,0106010E0,594
0408010H0BBAFAW,Lamictal_Tab Disper 100mg,0408010H0,15
0408010H0AAABAB,Lamotrigine_Tab 50mg,0408010H0,925
0106070A0AAAAAA,Prucalopride_Tab 1mg,0106070A0,19
0106010E0AAANAN,Ispag Husk_Gran Eff Sach 3.5g Lem S/F,0106010E0,2
