bnf_code,bnf_name,chemical,numerator
130201100BBAZAN,Dermol 200_Shower Emollient,130201100,7
0906040G0AACCCC,Colecal & Calc_Tab 400u/1.25g,0906040G0,24
0602010V0AABZBZ,Levothyrox Sod_Tab 100mcg,0602010V0,959
0906040G0BNACCB,Adcal-D3_Dissolve Tab Eff 1.5g/400u(Lem),0906040G0,2
0906040G0BEAEBI,Solgar_Vit D3 Cap 400u,0906040G0,3
0906040G0AABSBS,Colecal & Calc_Tab 400u/1.5g,0906040G0,1
0906040G0AACNCN,"Colecal_Tab 5,000u",0906040G0,2
0906040G0AABTBT,"Colecal_Oral Dps 2,000u/ml S/F",0906040G0,1
0905011D0AAAJAJ,Calc Carb_Tab Chble 1.25g (500mg) S/F,0905011D0,8
0906040G0BRABBW,Calcichew D3 Fte_Tab Chble,0906040G0,96
0906040G0BNADCD,Adcal-D3_Capl 750mg/200u,0906040G0,21
0602010V0AABXBX,Levothyrox Sod_Tab 50mcg,0602010V0,1032
0906040G0BRAABU,Calcichew D3_Tab Chble,0906040G0,18
0906040G0AABUBU,Colecal & Calc_Tab Chble 200u/1.25g,0906040G0,9
0906040G0AABGBG,"Colecal_Tab 1,000u",0906040G0,3
130201100BBAQA0,Dermol 600_Bath Emollient,130201100,9
0906040G0AADNDN,"Colecal_Oral Dps 10,000u/ml S/F",0906040G0,2
130201100BBAEAA,Balneum_Bath Oil 84.75%,130201100,5
0906040G0BWABCQ,"SunVit-D3_Tab 10,000u",0906040G0,4
0906040G0BMAABG,"Valupak_Vit D3 Tab 1,000u",0906040G0,400
0602010V0AABYBY,Levothyrox Sod_Tab 75mcg,0602010V0,11
0906040G0AAANAN,Colecal_Cap 800u,0906040G0,5
0906040G0AAEAEA,"Colecal_Cap 5,000u",0906040G0,2
0906040G0AABIBI,Colecal_Cap 400u,0906040G0,4
130201100BBAGAG,Balneum Plus_Bath Oil,130201100,1
0906040G0BWAFCN,"SunVit-D3_Tab 5,000u",0906040G0,3
0906040G0BXAAAN,Fultium-D3_Cap 800u,0906040G0,3
0906040G0BQAABW,Calceos_Tab Chble 500mg/400u,0906040G0,2
0906040G0BNAABY,Adcal-D3_Tab Chble (Tutti-Frutti),0906040G0,84
0602010V0AABWBW,Levothyrox Sod_Tab 25mcg,0602010V0,1088
0906040G0BHAABN,"Baby D_Oral Soln 1,000/ml",0906040G0,1
0906040G0BIAICU,"Pro D3_Oral Soln 2,000u/ml",0906040G0,7
0906040G0CHAJDS,"Aciferol D3_Oral Soln 3,000u/ml",0906040G0,2
130201100BBBAAN,Dermol Wash_Cutaneous Emuls,130201100,1
0906040G0AADRDR,"Colecal_Cap 20,000u",0906040G0,1
0906040G0AABWBW,Colecal & Calc_Tab Chble 400u/1.25g,0906040G0,297
0906040G0BRACCC,Calcichew D3_Capl 500mg/400u,0906040G0,31
0906040G0BXABDF,"Fultium-D3_Cap 3,200u",0906040G0,2
0906040G0CGAADR,"Hux D3_Cap 20,000u",0906040G0,49
130201100AAAAAA,Soya Oil_Bath Oil 84.75%,130201100,2
0602010V0AAGAGA,Levothyrox Sod_Oral Soln 50mcg/5ml S/F,0602010V0,6
130201100AAAMAM,Aq_Crm,130201100,9
0906040G0AABXBX,Colecal/Calc_Eff Gran Sach 440u/1.25g 4g,0906040G0,1
0906040G0AADVDV,"Colecal_Cap 10,000u",0906040G0,1
0906040G0AADBDB,"Colecal_Tab 2,000u",0906040G0,1
0906040G0BPAABX,Cacit D3_Eff Gran Sach 4g,0906040G0,6
0906040G0AACBCB,Colecal & Calc_Tab Eff 400u/1.5g (Lem),0906040G0,29
0906040G0BWACCR,"SunVit-D3_Tab 20,000u",0906040G0,46
0906040G0BNABBY,Adcal-D3_Tab Chble (Lem),0906040G0,134
0906040G0BWBBDR,"SunVit-D3_Cap 20,000u",0906040G0,2
0906040G0AABYBY,Colecal & Calc_Tab Chble 400u/1.5g,0906040G0,197
