bnf_code,bnf_name,chemical,numerator
0105010E0AAAPAP,Sulfasalazine_Oral Susp 250mg/5ml S/F,0105010E0,1
0703021Q0BIAAAA,Feanolla_Tab 75mcg,0703021Q0,7
0408010G0AAAAAA,Gabapentin_Cap 100mg,0408010G0,61
0105010E0AAAAAA,Sulfasalazine_Tab 500mg,0105010E0,4
0408010G0AAACAC,Gabapentin_Cap 400mg,0408010G0,3
0703021Q0BBAAAA,Cerazette_Tab 75mcg,0703021Q0,6
0408010G0AAAJAJ,Gabapentin_Tab 600mg,0408010G0,6
0703021Q0AAAAAA,Desogestrel_Tab 75mcg,0703021Q0,136
0105010E0AAABAB,Sulfasalazine_Tab E/C 500mg,0105010E0,5
0408010G0AAABAB,Gabapentin_Cap 300mg,0408010G0,57
0703021Q0BDAAAA,Cerelle_Tab 75mcg,0703021Q0,18
