bnf_code,bnf_name,chemical,numerator
0501130R0AAAAAA,Nitrofurantoin_Cap 50mg,0501130R0,70
0501130R0AAADAD,Nitrofurantoin_Tab 50mg,0501130R0,102
0403030Q0AAABAB,Sertraline HCl_Tab 100mg,0403030Q0,2198
0403030Q0AAAAAA,Sertraline HCl_Tab 50mg,0403030Q0,3059
0310000N0AAACAC,Pseudoephed HCl_Tab 60mg,0310000N0,4
0106010E0BKAAAD,Fybogel_H/Fbre Gran Eff Sach3.5g OrngS/F,0106010E0,5
0403030Q0BBABAB,Lustral_Tab 100mg,0403030Q0,5
0106010E0BKABAD,Fybogel_H/Fbre Gran Eff Sach3.5g Lem S/F,0106010E0,2
0501130R0AAACAC,Nitrofurantoin_Oral Susp 25mg/5ml S/F,0501130R0,1
0501130R0AAAGAG,Nitrofurantoin_Cap 100mg M/R,0501130R0,1506
0501130R0AAABAB,Nitrofurantoin_Cap 100mg,0501130R0,38
0501130R0AAAEAE,Nitrofurantoin_Tab 100mg,0501130R0,74
0801030L0AAAAAA,Mercaptopurine_Tab 50mg,0801030L0,12
0106010E0AAAHAH,Ispag Husk_Gran Eff Sach 3.5g Orange S/F,0106010E0,19
0106010E0BBAAAD,Fybogel_Gran Sach 3.5g Plain S/F,0106010E0,90
0106010E0AAADAD,Ispag Husk_Gran Eff Sach 3.5g G/F S/F,0106010E0,496
0106010E0AAATAT,Ispag Husk_Gran Sach 3.5g G/F,0106010E0,46
0403030Q0BBAAAA,Lustral_Tab 50mg,0403030Q0,8
0106010E0BBABAH,Fybogel_Gran Sach 3.5g Orange S/F,0106010E0,199
0106010E0BBACAD,Fybogel_Gran Sach 3.5g Lem S/F,0106010E0,35
0106010E0AAANAN,Ispag Husk_Gran Eff Sach 3.5g Lem S/F,0106010E0,3
0310000N0BCACAC,Sudafed_Decongest Tab 60mg,0310000N0,4
