bnf_code,bnf_name,chemical,numerator
0103050P0AAAFAF,Omeprazole_Cap E/C 10mg,0103050P0,242
1312000C0AAASAS,Alum Chlor_Soln 20%,1312000C0,6
0502050C0AAAAAA,Terbinafine HCl_Tab 250mg,0502050C0,223
1001022K0BBAGAG,Depo-Medrone/Lidoc_Inj 40/10mg/ml 1ml Vl,1001022K0,7
0103050P0AABLBL,Omeprazole_Oral Susp 10mg/5ml,0103050P0,13
0309020D0AAABAB,Simple_Linct Paed,0309020D0,1
0103050P0AABDBD,Omeprazole_Tab E/C 20mg,0103050P0,55
0103050P0BBADAM,Losec MUPS_Tab Disper 10mg (E/C Pellets),0103050P0,10
0103050P0BFABAA,Mepradec_Cap E/C 20mg,0103050P0,14
0103050P0AABEBE,Omeprazole_Tab E/C 40mg,0103050P0,21
0103050P0AABMBM,Omeprazole_Oral Susp 20mg/5ml,0103050P0,16
1312000C0BCAAAS,Driclor_A-Pers Soln 20%,1312000C0,5
1312000C0AAAWAW,Alum Chlor_Spy 20% 30ml,1312000C0,2
0103050P0AABCBC,Omeprazole_Tab E/C 10mg,0103050P0,7
0103050P0AAAMAM,Omeprazole_Tab Disper 10mg (E/C Pellets),0103050P0,19
0103050P0AAAAAA,Omeprazole_Cap E/C 20mg,0103050P0,2881
1312000C0BBAAAS,Anhydrol Fte_A-Pers Soln 20%,1312000C0,1
1001022K0AAAAAA,Methylpred Acet_Inj 40mg/ml 1ml Vl,1001022K0,33
0103050P0AAANAN,Omeprazole_Tab Disper 20mg (E/C Pellets),0103050P0,56
0103050P0AAAEAE,Omeprazole_Cap E/C 40mg,0103050P0,292
0103050P0BBAEAN,Losec MUPS_Tab Disper 20mg (E/C Pellets),0103050P0,1
0103050P0AABNBN,Omeprazole_Oral Susp 5mg/5ml,0103050P0,10
0103050P0AAAPAP,Omeprazole_Tab Disper 40mg (E/C Pellets),0103050P0,22
