bnf_code,bnf_name,chemical,numerator
0407010H0AACMCM,Paracet_Suppos 125mg,0407010H0,1
0301011R0BEAHAQ,Ventolin_Accuhaler 200mcg (60 D),0301011R0,15
0407010H0AAA7A7,Paracet_Oral Soln Paed 120mg/5ml S/F,0407010H0,1
0307000J0AAAAAA,Carbocisteine_Cap 375mg,0307000J0,280
0301011R0AAAPAP,Salbutamol_Inha 100mcg (200 D) CFF,0301011R0,641
0301011R0AAAXAX,Salbutamol_Inh Soln 2.5mg/2.5ml Ud,0301011R0,13
0501130R0BGAAAG,Macrobid_Cap 100mg,0501130R0,1
0301011R0BWABAQ,Easyhaler_Salbutamol Sulf 200mcg (200D),0301011R0,2
0301011R0AAAQAQ,Salbutamol_Pdr For Inh 200mcg (60 D),0301011R0,16
0301011R0BIAGBU,Salamol E-Breathe_Inh 100mcg (200 D) CFF,0301011R0,10
0407010H0AADSDS,Paracet_Tab Eff 500mg,0407010H0,9
0301011R0BEANAX,Ventolin_Nebules Soln 2.5mg/2.5ml Ud,0301011R0,39
0501130R0AAAAAA,Nitrofurantoin_Cap 50mg,0501130R0,11
0407010H0AAAQAQ,Paracet_Tab Solb 500mg,0407010H0,12
0301011R0AABDBD,Salbutamol_Inh Soln 5mg/2.5ml Ud,0301011R0,7
0301011R0AABZBZ,Salbutamol_Pdr For Inh 100mcg (200 D),0301011R0,9
0301011R0BIAFAP,Salamol_Inha 100mcg (200 D) CFF (Teva),0301011R0,2
0407010H0AAACAC,Paracet_Oral Susp 250mg/5ml,0407010H0,8
0407010H0AAAAAA,Paracet_Cap 500mg,0407010H0,1
0407010H0AAAMAM,Paracet_Tab 500mg,0407010H0,274
0501130R0AAAGAG,Nitrofurantoin_Cap 100mg M/R,0501130R0,96
0407010H0AABGBG,Paracet_Oral Susp 250mg/5ml S/F,0407010H0,18
1310040Q0BBABAB,Lyclear_Dermal Crm 5%,1310040Q0,1
0301011R0BMABBU,Airomir_Autohaler 100mcg (200 D) CFF,0301011R0,4
0301011R0AABUBU,Salbutamol_Inha B/A 100mcg (200 D) CFF,0301011R0,13
0307000J0AAACAC,Carbocisteine_Oral Soln 250mg/5ml,0307000J0,22
0501130R0AAAEAE,Nitrofurantoin_Tab 100mg,0501130R0,1
0501130R0AAADAD,Nitrofurantoin_Tab 50mg,0501130R0,16
0301011R0BEAIAP,Ventolin_Evohaler 100mcg (200 D),0301011R0,523
