bnf_code,bnf_name,chemical,numerator
0202030S0AAEEEE,Spironol_Oral Susp 100mg/5ml,0202030S0,8
0202030S0AAAVAV,Spironol_Tab 100mg,0202030S0,26
0603020T0AAATAT,Prednisolone_Tab G/R 1mg,0603020T0,10
0202030S0AAAUAU,Spironol_Tab 50mg,0202030S0,48
0603020T0AAAFAF,Prednisolone_Tab E/C 2.5mg,0603020T0,56
0603020T0AAAAAA,Prednisolone_Tab 1mg,0603020T0,129
0502010B0AAACAC,Fluconazole_Cap 200mg,0502010B0,7
0603020T0AAAGAG,Prednisolone_Tab E/C 5mg,0603020T0,66
0603020T0AABLBL,Prednisolone_Oral Soln 5mg/5ml Ud,0603020T0,1
0902021X0AAACAC,Water For Inj_5ml Amp,0902021X0,2
0408010G0AAAAAA,Gabapentin_Cap 100mg,0408010G0,80
0202030S0AAATAT,Spironol_Tab 25mg,0202030S0,187
0502010B0AAAAAA,Fluconazole_Cap 50mg,0502010B0,14
0408010G0AAABAB,Gabapentin_Cap 300mg,0408010G0,157
0603020T0AABHBH,Prednisolone_Tab Solb 5mg,0603020T0,99
0408010G0AAAKAK,Gabapentin_Tab 800mg,0408010G0,1
0408010G0AAACAC,Gabapentin_Cap 400mg,0408010G0,9
0603020T0AAACAC,Prednisolone_Tab 5mg,0603020T0,510
0408010G0AAAJAJ,Gabapentin_Tab 600mg,0408010G0,24
0902021X0AAAPAP,Water For Inj_10ml Vl,0902021X0,1
0603020T0AAAXAX,Prednisolone_Tab 20mg,0603020T0,1
0603020T0AAARAR,Prednisolone_Tab 25mg,0603020T0,1
0502010B0AAABAB,Fluconazole_Cap 150mg,0502010B0,48
0902021X0AAADAD,Water For Inj_10ml Amp,0902021X0,1
