bnf_code,bnf_name,chemical,numerator
0205052N0AAAAAA,Losartan Pot_Tab 25mg,0205052N0,112
0602010V0AABWBW,Levothyrox Sod_Tab 25mcg,0602010V0,940
0205052N0BBADAH,Cozaar_Tab 12.5mg,0205052N0,6
0409010N0AAABAB,Co-Careldopa_Tab 25mg/100mg,0409010N0,1
0602010V0AAFZFZ,Levothyrox Sod_Oral Soln 25mcg/5ml S/F,0602010V0,1
0409010N0BBAGAD,Sinemet_Tab 12.5mg/50mg,0409010N0,6
0205052N0AAABAB,Losartan Pot_Tab 50mg,0205052N0,177
0307000J0AAAGAG,Carbocisteine_Soln750mg/10mlSach10ml S/F,0307000J0,9
0602010V0AABXBX,Levothyrox Sod_Tab 50mcg,0602010V0,1031
0307000J0AAACAC,Carbocisteine_Oral Soln 250mg/5ml,0307000J0,14
0602010V0AABZBZ,Levothyrox Sod_Tab 100mcg,0602010V0,1098
0205052N0AAADAD,Losartan Pot_Tab 100mg,0205052N0,130
0307000J0AAAAAA,Carbocisteine_Cap 375mg,0307000J0,564
0602010V0AAGBGB,Levothyrox Sod_Oral Soln 100mcg/5ml S/F,0602010V0,2
0602010V0AABYBY,Levothyrox Sod_Tab 75mcg,0602010V0,153
0205052N0AAAHAH,Losartan Pot_Tab 12.5mg,0205052N0,23
