bnf_code,bnf_name,chemical,numerator
0302000C0BJAABE,Qvar 50_Inha 50mcg (200 D),0302000C0,20
0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief,0101021B0,20
0302000C0BPABBF,Clenil Modulite_Inha 100mcg (200D),0302000C0,158
0302000C0BRAABY,Fostair NEXThaler_Inh 100mcg/6mcg (120D),0302000C0,11
0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg,0101021B0,3
0302000C0BPACBV,Clenil Modulite_Inha 200mcg (200D),0302000C0,30
0302000C0AABVBV,Beclomet Diprop_Inha 200mcg (200 D) CFF,0302000C0,5
0302000C0BQAABX,Fostair_Inh 100mcg/6mcg (120D) CFF,0302000C0,109
0101021B0BEADAJ,Gaviscon Infant_Oral Pdr Sach,0101021B0,33
0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F,0101021B0,16
0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) (Reckitt),0101021B0,30
0607010C0AAAAAA,Cabergoline_Tab 0.5mg,0607010C0,1
0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F,0101021B0,13
0402030K0BFAAAF,Priadel_Tab 400mg,0402030K0,6
0101021B0BEAFAH,Gaviscon_Liq Relief Peppermint,0101021B0,1
0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,0101021B0,10
0302000C0BPADBW,Clenil Modulite_Inha 250mcg (200D),0302000C0,1
0101021B0BIABAH,Peptac_Liq (Peppermint) S/F,0101021B0,24
0302000C0BJAEBG,Qvar 50 E-Breathe_Inha 50mcg (200 D),0302000C0,9
0302000C0BRABCA,Fostair NEXThaler_Inh 200mcg/6mcg (120D),0302000C0,9
0302000C0BQABBZ,Fostair_Inh 200mcg/6mcg (120D) CFF,0302000C0,54
0302000C0BJADBH,Qvar 100_Autohaler 100mcg (200 D),0302000C0,5
0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,0101021B0,8
0302000C0AABFBF,Beclomet Diprop_Inha 100mcg (200 D) CFF,0302000C0,1
0302000C0BJABBF,Qvar 100_Inha 100mcg (200 D),0302000C0,77
0302000C0BPAABE,Clenil Modulite_Inha 50mcg (200D),0302000C0,49
