bnf_code,bnf_name,chemical,numerator
0205052N0AAAHAH,Losartan Pot_Tab 12.5mg,0205052N0,20
0205052N0AAADAD,Losartan Pot_Tab 100mg,0205052N0,268
0301020Q0AAACAC,Tiotropium_Inha 2.5mcg (60D) CFF + Dev,0301020Q0,18
0205052N0AAAAAA,Losartan Pot_Tab 25mg,0205052N0,130
0301020Q0BBACAC,Spiriva Respimat_Inha 2.5mcg (60D) + Dev,0301020Q0,40
0301020Q0BCAAAD,Braltus_Pdr For Inh Cap 10mcg+Zonda Inh,0301020Q0,6
0301020Q0AAAAAA,Tiotropium_Pdr For Inh Cap 18mcg + Dev,0301020Q0,36
0205052N0BBACAD,Cozaar_Tab 100mg,0205052N0,9
0205052N0AAABAB,Losartan Pot_Tab 50mg,0205052N0,238
1105000B0AAAJAJ,Atrop Sulf_Eye Dps 1% Ud,1105000B0,2
0202040B0AAAAAA,Co-Amilofruse_Tab 5mg/40mg,0202040B0,2
0301020Q0AAABAB,Tiotropium_Pdr For Inh Cap 18mcg,0301020Q0,205
0301020Q0AAADAD,Tiotropium_Pdr For Inh Cap 10mcg + Dev,0301020Q0,143
