bnf_code,bnf_name,chemical,numerator
0206010F0AACICI,Glyceryl Trinit_Sub P/Spy 400mcg (180D),0206010F0,4377
0206010F0AACJCJ,Glyceryl Trinit_Sub P/Spy 400mcg (200D),0206010F0,94
0206010F0BQAAA5,Gtn_Tab 300mcg,0206010F0,6
0205051R0AAABAB,Ramipril_Cap 2.5mg,0205051R0,15586
0205051R0AAANAN,Ramipril_Tab 10mg,0205051R0,658
0205051R0AAATAT,Ramipril_Oral Soln 2.5mg/5ml S/F,0205051R0,15
0406000T0BFAAAK,Buccastem M_Tab 3mg,0406000T0,13
0206010F0AACGCG,Glyceryl Trinit_Sub A/Spy 400mcg (180D),0206010F0,20
0206010F0AABHBH,Glyceryl Trinit_Patch 5mg/24hrs,0206010F0,9
0206010F0BRABCG,Glytrin_A/Spy 400mcg (200 D),0206010F0,3
0206010F0BWABCJ,Nitromin_P/Spy 400mcg (200 D),0206010F0,8
0206010F0AAAHAH,Glyceryl Trinit_Tab 500mcg,0206010F0,62
0406000T0BBAAAG,Stemetil_Tab 5mg,0406000T0,25
0206010F0BKAABH,Transiderm-Nitro 5_Patch,0206010F0,5
0206010F0AABIBI,Glyceryl Trinit_Patch 10mg/24hrs,0206010F0,7
0206010F0AACHCH,Glyceryl Trinit_Sub A/Spy 400mcg (200D),0206010F0,7
0501050B0AAABAB,Clarithromycin_Oral Susp 125mg/5ml,0501050B0,184
0501050B0AAADAD,Clarithromycin_Tab 500mg,0501050B0,2324
0501050B0AAAAAA,Clarithromycin_Tab 250mg,0501050B0,272
0205051R0AAAMAM,Ramipril_Tab 5mg,0205051R0,2564
0801050P0AAAAAA,Hydroxycarbamide_Cap 500mg,0801050P0,53
0205051R0AAAKAK,Ramipril_Tab 1.25mg,0205051R0,684
0501050B0AAAEAE,Clarithromycin_Tab 500mg M/R,0501050B0,5
0205051R0AAACAC,Ramipril_Cap 5mg,0205051R0,11037
0206010F0BFABCI,Nitrolingual_P/Spy 400mcg (200 D),0206010F0,18
0205051R0AAALAL,Ramipril_Tab 2.5mg,0205051R0,1385
0206010F0BCAABH,Deponit 5_Patch,0206010F0,1
0501050B0AAAHAH,Clarithromycin_Oral Susp 250mg/5ml,0501050B0,120
0206010F0BFADCI,Nitrolingual_P/Spy 400mcg (180 D),0206010F0,18
0206010F0AAA5A5,Glyceryl Trinit_Tab 300mcg,0206010F0,27
0205051R0AAADAD,Ramipril_Cap 10mg,0205051R0,16041
0205051R0AAAAAA,Ramipril_Cap 1.25mg,0205051R0,8334
0406000T0AAAGAG,Prochlpzine Mal_Tab 5mg,0406000T0,3246
0406000T0AAAKAK,Prochlpzine Mal_Tab Buccal 3mg,0406000T0,398
