bnf_code,bnf_name,chemical,numerator
0407042Q0AAACAC,Pizotifen Malate_Tab 1.5mg,0407042Q0,77
0302000K0BHABAU,DuoResp Spiromax_Inh 320mcg/9mcg (60 D),0302000K0,11
0302000K0AAAHAH,Budesonide_Pdr For Inh 400mcg (50 D),0302000K0,2
0302000K0AAAJAJ,Budesonide_Inh Soln 500mcg/2ml Ud Vl,0302000K0,13
0106030P0AAABAB,Liq Paraf_Liq,0106030P0,1
0302000K0AAAUAU,Budesonide/Formoterol_InhaB/A 400/12(60D,0302000K0,6
0302000K0BBAKAK,Pulmicort_Turbohaler 100mcg (200 D),0302000K0,8
0302000K0BGABAG,Easyhaler_Budesonide 200mcg (200 D),0302000K0,4
0302000K0BDADBB,Symbicort_Inh Pressurised 200/6mcg(120D),0302000K0,6
0401010Z0AAAAAA,Zopiclone_Tab 7.5mg,0401010Z0,1085
0407042Q0AAABAB,Pizotifen Malate_Tab 500mcg,0407042Q0,62
0302000K0BDAAAL,Symbicort_Turbohaler 100mcg/6mcg (120 D),0302000K0,78
0302000K0BBAHAG,Pulmicort_Turbohaler 200mcg (100 D),0302000K0,17
0401010Z0BBAAAA,Zimovane_Tab 7.5mg,0401010Z0,20
0302000K0BIACAM,Fobumix_Easyhaler 160mcg/4.5mcg (120 D),0302000K0,1
0401010Z0AAACAC,Zopiclone_Tab 3.75mg,0401010Z0,695
0302000K0BFAAAV,Budelin Novolizer_Inh 200mcg (100 D),0302000K0,1
0302000K0BDACAU,Symbicort_Turbohaler 400mcg/12mcg (60 D),0302000K0,147
0302000K0BBAJAJ,Pulmicort_Respule 250mcg/ml 2ml Ud,0302000K0,11
0302000K0AAAKAK,Budesonide_Pdr For Inh 100mcg (200 D),0302000K0,1
0302000K0BDABAM,Symbicort_Turbohaler 200mcg/6mcg (120 D),0302000K0,284
0302000K0BHAAAM,DuoResp Spiromax_Inh 160mcg/4.5mcg(120D),0302000K0,17
0401010Z0BBABAC,Zimovane LS_Tab 3.75mg,0401010Z0,5
0302000K0AAAIAI,Budesonide_Inh Soln 1mg/2ml Ud Vl,0302000K0,6
0302000K0BGAAAK,Easyhaler_Budesonide 100mcg (200 D),0302000K0,13
