bnf_code,bnf_name,chemical,numerator
1502010J0AABEBE,Lido HCl_Inj 2% 2ml Amp,1502010J0,7
1502010J0BSAAEL,Versatis_Medic Plastr 700mg,1502010J0,22
0601040I0BFAAAD,Rapilose_Gel 40%,0601040I0,6
0205020M0AAAAAA,Moxonidine_Tab 200mcg,0205020M0,6
1203040E0BBAIAB,Corsodyl_Mthwsh Alcohol Free 0.2%,1203040E0,2
0105010E0AAAAAA,Sulfasalazine_Tab 500mg,0105010E0,26
1502010J0BTABEN,Lignospan Special_Inj 2% 1.8ml Cart,1502010J0,7
1502010J0BTAACQ,Lignospan Special_Inj 2% 2.2ml Cart,1502010J0,13
0105010E0BBABAB,Salazopyrin-En_Tab 500mg,0105010E0,14
1502010J0AAELEL,Lido_Medic Plastr 5%,1502010J0,76
1203040E0BBAAAA,Corsodyl_Dental Gel 1%,1203040E0,1
1502010J0BEAABY,Emla_Crm 5%,1502010J0,26
1502010J0BTABEN,Lignospan Special_Inj 1.8ml Cart,1502010J0,19
1203040E0AAABAB,Chlorhex Glucon_Mthwsh 0.2%,1203040E0,19
1502010J0AAEPEP,Lido HCl_Gel 2%,1502010J0,1
1502010J0AABYBY,Lido HCl/Prilocaine_Crm 2.5%/2.5%,1502010J0,9
0601040I0AAADAD,Glucose_Gel 40%,0601040I0,11
0205020M0AAABAB,Moxonidine_Tab 400mcg,0205020M0,9
1502010J0BDAABQ,Instillagel_Gel 6ml Pfs,1502010J0,2
1502010J0AABUBU,Lido HCl_Inj 1% 2ml Amp,1502010J0,29
0601040I0BBADAD,GlucoGel_Gel 40% (Original),0601040I0,7
1203040E0BBACAB,Corsodyl_Mthwsh (Mint) 0.2%,1203040E0,4
0105010E0AAABAB,Sulfasalazine_Tab E/C 500mg,0105010E0,55
