bnf_code,bnf_name,chemical,numerator
0301020Q0BBACAC,Spiriva Respimat_Inha 2.5mcg (60D) + Dev,0301020Q0,111
0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief,0101021B0,2
0101021B0BEAJAM,Gaviscon_Liq Sach 10ml (Peppermint) S/F,0101021B0,1
0101021B0BEADAJ,Gaviscon Infant_Oral Pdr Sach,0101021B0,114
0301020Q0AAAAAA,Tiotropium_Pdr For Inh Cap 18mcg + Dev,0301020Q0,26
0101021B0AAAPAP,Sod Alginate/Pot Bicarb_Tab Chble 500mg,0101021B0,32
0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F,0101021B0,66
0301020Q0AAABAB,Tiotropium_Pdr For Inh Cap 18mcg,0301020Q0,95
0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F,0101021B0,201
1203040E0BBAIAB,Corsodyl_Mthwsh Alcohol Free 0.2%,1203040E0,1
120101050BCAAAB,Otomize_Ear Spy 5ml,120101050,370
0301020Q0BBAAAA,Spiriva_Pdr For Inh Cap 18mcg+HandiHaler,0301020Q0,8
0301020Q0BCAAAD,Braltus_Pdr For Inh Cap 10mcg+Zonda Inh,0301020Q0,79
0301020Q0BBABAB,Spiriva_Pdr For Inh Cap 18mcg,0301020Q0,5
0101021B0BEAFAH,Gaviscon_Liq Relief Peppermint,0101021B0,7
0101021B0BEARA0,Gaviscon Double Action_Tab Chble,0101021B0,2
1203040E0AAABAB,Chlorhex Glucon_Mthwsh 0.2%,1203040E0,19
0301020Q0AAACAC,Tiotropium_Inha 2.5mcg (60D) CFF + Dev,0301020Q0,42
0101021B0BIABAH,Peptac_Liq (Peppermint) S/F,0101021B0,363
1203040E0BBABAB,Corsodyl_Mthwsh 0.2%,1203040E0,1
0101021B0AAAHAH,Alginate_Raft-Forming Oral Susp S/F,0101021B0,50
0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) (Reckitt),0101021B0,54
1203040E0BBACAB,Corsodyl_Mthwsh (Mint) 0.2%,1203040E0,10
0101021B0BEAQAP,Gaviscon Advance_Tab Chble Mint(Reckitt),0101021B0,68
1203040E0AAAAAA,Chlorhex Glucon_Gel 1% S/F,1203040E0,1
0101021B0AAALAL,Sod Algin/Pot Bicarb_Susp S/F,0101021B0,33
0101021B0BEASA0,Gaviscon Double Action_Liq (Peppermint),0101021B0,11
