bnf_code,bnf_name,chemical,numerator
0601060D0CSAAA0,Mobile (Reagent)_Strips,0601060D0,36
0601060D0BHADA0,OneTouch Verio (Reagent)_Strips,0601060D0,1
0601060D0BJADA0,FreeStyle Optium (Reagent)_Strips,0601060D0,17
0502030B0BBABAB,Nystan_Susp (Ready Mixed),0502030B0,28
0601060D0CXABA0,Omnitest 5 (Reagent)_Strips,0601060D0,1
0601060D0BWABA0,FreeStyle Lite (Reagent)_Strips,0601060D0,26
0601060D0CUACA0,GlucoRx HCT Glucose (Reagent)_Strips,0601060D0,16
0601060D0CUABA0,GlucoRx Nexus (Reagent)_Strips,0601060D0,171
0601060D0CIAAA0,WaveSense JAZZ (Reagent)_Strips,0601060D0,9
0502030B0AAABAB,"Nystatin_Oral Susp 100,000u/ml",0502030B0,10
0501110C0AAAJAJ,Metronidazole_Tab 400mg,0501110C0,33
0601060D0CCAAA0,Aviva (Reagent)_Strips,0601060D0,31
0601060D0CLAAA0,Contour (Reagent)_Strips,0601060D0,8
0601060D0BQAEA0,GlucoMen areo Sensor (Reagent)_Strips,0601060D0,8
1104010I0BFAAAP,Tobradex_Eye Dps 3mg/ml / 1mg/ml,1104010I0,4
0601060D0DWAAA0,Performa (Reagent)_Strips,0601060D0,56
0601060D0DGAAA0,Contour Next (Reagent)_Strips,0601060D0,13
